[SYS] 2026/06/09 - 14:01:25 | initializing token encoders 
[SYS] 2026/06/09 - 14:01:25 | token encoders initialized 
[SYS] 2026/06/09 - 14:01:25 | using SQLite as database 
[SYS] 2026/06/09 - 14:01:25 | database migration started 
[SYS] 2026/06/09 - 14:01:25 | system is already initialized at: 2026-03-24 08:57:55 +0800 CST 
[SYS] 2026/06/09 - 14:01:25 | REDIS_CONN_STRING not set, Redis is not enabled 
[SYS] 2026/06/09 - 14:01:25 | i18n initialized with languages: zh-CN, zh-TW, en 
[SYS] 2026/06/09 - 14:01:25 | New API v0.0.0 started 
[SYS] 2026/06/09 - 14:01:25 | 正在更新数据看板数据... 
[INFO] 2026/06/09 - 14:01:25 | SYSTEM | codex credential auto-refresh task started: tick=10m0s threshold=24h0m0s 
[SYS] 2026/06/09 - 14:01:25 | upstream model update task started: interval=30m0s 
[SYS] 2026/06/09 - 14:01:25 | 保存数据看板数据成功，共保存0条数据 

  [32mNew API v0.0.0[0m  ready in 193 ms

  ➜  [1mLocal:[0m   http://localhost:3000/
  ➜  [1mNetwork:[0m http://192.168.10.35:3000/

[SYS] 2026/06/09 - 14:01:26 | upstream model update check failed: channel_id=9 channel_name=axa err=Get "https://api.axa.us.ci/v1/models": EOF 
[SYS] 2026/06/09 - 14:01:26 | upstream model update check failed: channel_id=18 channel_name=grok2api err=Get "https://vibe.grok2api.us.ci/v1/models": EOF 
[GIN] 2026/06/09 - 14:01:29 | web | 202606090601291979060008268d9d61opZgJGu | 200 |      1.0762ms |       127.0.0.1 |     GET /console/channel
[GIN] 2026/06/09 - 14:10:57 | api | 202606090610571291947008268d9d6c6Xb8KKY | 200 |      3.1683ms |       127.0.0.1 |     GET /api/data/?username=&start_timestamp=1780243200&end_timestamp=1780985409&default_time=day
[GIN] 2026/06/09 - 14:10:57 | api | 202606090610571734103008268d9d66sHLB8NM | 200 |      2.2364ms |       127.0.0.1 |     GET /api/data/users?start_timestamp=1780243200&end_timestamp=1780985409
[SYS] 2026/06/09 - 14:11:25 | automatically test channels with interval 10.000000 minutes 
[SYS] 2026/06/09 - 14:11:25 | automatically testing all channels 
[SYS] 2026/06/09 - 14:11:25 | 正在更新数据看板数据... 
[SYS] 2026/06/09 - 14:11:25 | 保存数据看板数据成功，共保存0条数据 
[SYS] 2026/06/09 - 14:11:25 | automatically channel test finished 
[SYS] 2026/06/09 - 14:11:25 | testing channel 62 with model gpt-5.5 , info RelayInfo{ RelayFormat: openai, RelayMode: 1, IsStream: false, IsPlayground: false, RequestURLPath: "/v1/chat/completions", OriginModelName: "gpt-5.5", EstimatePromptTokens: 0, ShouldIncludeUsage: false, DisablePing: false, SendResponseCount: 0, FinalPreConsumedQuota: 0, User{ Id: 1, Email: "***masked***", Group: "default", UsingGroup: "default", Quota: 499999224577603 }, Token{ Id: 0, Unlimited: false, Key: ***masked*** }, Timing{ Start: 2026-06-09T14:11:25.6605569+08:00, FirstResponse: 2026-06-09T14:11:24.6605569+08:00, LatencyMs: -1000 }, ChannelMeta{ Type: 1, Id: 62, IsMultiKey: false, MultiKeyIndex: 0, BaseURL: "https://vip.allinai7.cloud", ApiType: 0, ApiVersion: "", CreateTime: 1780386132, UpstreamModelName: "gpt-5.5", IsModelMapped: false, SupportStreamOptions: true, ApiKey: ***masked*** }, }  
[SYS] 2026/06/09 - 14:11:25 | syncing options from database 
[SYS] 2026/06/09 - 14:11:26 | channel test bad response: channel_id=62 name=https://vip.allinai7.cloud type=1 model=gpt-5.5 endpoint_type= status=401 err=bad response status code 401, message: API key is disabled, body: {"code":"API_KEY_DISABLED","message":"API key is disabled"} 
[SYS] 2026/06/09 - 14:11:26 | testing channel 60 with model gpt-5.5 , info RelayInfo{ RelayFormat: openai, RelayMode: 1, IsStream: false, IsPlayground: false, RequestURLPath: "/v1/chat/completions", OriginModelName: "gpt-5.5", EstimatePromptTokens: 0, ShouldIncludeUsage: false, DisablePing: false, SendResponseCount: 0, FinalPreConsumedQuota: 0, User{ Id: 1, Email: "***masked***", Group: "default", UsingGroup: "default", Quota: 499999224577603 }, Token{ Id: 0, Unlimited: false, Key: ***masked*** }, Timing{ Start: 2026-06-09T14:11:26.8318091+08:00, FirstResponse: 2026-06-09T14:11:25.8318091+08:00, LatencyMs: -1000 }, ChannelMeta{ Type: 1, Id: 60, IsMultiKey: false, MultiKeyIndex: 0, BaseURL: "https://ai2.hhhl.cc", ApiType: 0, ApiVersion: "", CreateTime: 1780186722, UpstreamModelName: "gpt-5.5", IsModelMapped: false, SupportStreamOptions: true, ApiKey: ***masked*** }, }  
[SYS] 2026/06/09 - 14:11:32 | channel test bad response: channel_id=60 name=https://ai2.hhhl.cc type=1 model=gpt-5.5 endpoint_type= status=401 err=bad response status code 401, message: Invalid API key, body: {"error":{"message":"Invalid API key","type":"authentication_error","code":"invalid_api_key"},"message":"Invalid API key","code":"invalid_api_key","limit_type":"auth"} 
[SYS] 2026/06/09 - 14:11:32 | testing channel 40 with model gpt-5.5 , info RelayInfo{ RelayFormat: openai, RelayMode: 1, IsStream: false, IsPlayground: false, RequestURLPath: "/v1/chat/completions", OriginModelName: "gpt-5.5", EstimatePromptTokens: 0, ShouldIncludeUsage: false, DisablePing: false, SendResponseCount: 0, FinalPreConsumedQuota: 0, User{ Id: 1, Email: "***masked***", Group: "default", UsingGroup: "default", Quota: 499999224577603 }, Token{ Id: 0, Unlimited: false, Key: ***masked*** }, Timing{ Start: 2026-06-09T14:11:32.0943106+08:00, FirstResponse: 2026-06-09T14:11:31.0943106+08:00, LatencyMs: -1000 }, ChannelMeta{ Type: 1, Id: 40, IsMultiKey: false, MultiKeyIndex: 0, BaseURL: "https://688.qzz.io", ApiType: 0, ApiVersion: "", CreateTime: 1776581954, UpstreamModelName: "gpt-5.5", IsModelMapped: false, SupportStreamOptions: true, ApiKey: ***masked*** }, }  
[SYS] 2026/06/09 - 14:11:32 | channel test bad response: channel_id=40 name=https://688.qzz.io type=1 model=gpt-5.5 endpoint_type= status=401 err=bad response status code 401, message: Invalid token (request id: 202606090611329702333878268d9d6eW99gwMH), body: {"error":{"code":"","message":"Invalid token (request id: 202606090611329702333878268d9d6eW99gwMH)","type":"new_api_error"}} 
[SYS] 2026/06/09 - 14:11:32 | testing channel 5 with model gpt-5.4 , info RelayInfo{ RelayFormat: openai, RelayMode: 1, IsStream: false, IsPlayground: false, RequestURLPath: "/v1/chat/completions", OriginModelName: "gpt-5.4", EstimatePromptTokens: 0, ShouldIncludeUsage: false, DisablePing: false, SendResponseCount: 0, FinalPreConsumedQuota: 0, User{ Id: 1, Email: "***masked***", Group: "default", UsingGroup: "default", Quota: 499999224577603 }, Token{ Id: 0, Unlimited: false, Key: ***masked*** }, Timing{ Start: 2026-06-09T14:11:32.9471382+08:00, FirstResponse: 2026-06-09T14:11:31.9471382+08:00, LatencyMs: -1000 }, ChannelMeta{ Type: 1, Id: 5, IsMultiKey: false, MultiKeyIndex: 0, BaseURL: "https://runapi.net", ApiType: 0, ApiVersion: "", CreateTime: 1774316096, UpstreamModelName: "gpt-5.4", IsModelMapped: false, SupportStreamOptions: true, ApiKey: ***masked*** }, }  
[SYS] 2026/06/09 - 14:11:33 | channel test bad response: channel_id=5 name=runapi type=1 model=gpt-5.4 endpoint_type= status=403 err=bad response status code 403, message: No active subscription found for this group, body: {"code":"SUBSCRIPTION_NOT_FOUND","message":"No active subscription found for this group"} 
[SYS] 2026/06/09 - 14:11:34 | testing channel 13 with model gpt-5 , info RelayInfo{ RelayFormat: openai, RelayMode: 1, IsStream: false, IsPlayground: false, RequestURLPath: "/v1/chat/completions", OriginModelName: "gpt-5", EstimatePromptTokens: 0, ShouldIncludeUsage: false, DisablePing: false, SendResponseCount: 0, FinalPreConsumedQuota: 0, User{ Id: 1, Email: "***masked***", Group: "default", UsingGroup: "default", Quota: 499999224577603 }, Token{ Id: 0, Unlimited: false, Key: ***masked*** }, Timing{ Start: 2026-06-09T14:11:34.007705+08:00, FirstResponse: 2026-06-09T14:11:33.007705+08:00, LatencyMs: -1000 }, ChannelMeta{ Type: 1, Id: 13, IsMultiKey: false, MultiKeyIndex: 0, BaseURL: "https://api.fakerclaw.online", ApiType: 0, ApiVersion: "", CreateTime: 1774323173, UpstreamModelName: "gpt-5", IsModelMapped: false, SupportStreamOptions: true, ApiKey: ***masked*** }, }  
[SYS] 2026/06/09 - 14:11:45 | channel test bad response: channel_id=13 name=fakeikun type=1 model=gpt-5 endpoint_type= status=503 err=bad response status code 503, message: No available channel for model gpt-5 under group default (distributor) (request id: 20260609061144222390797ZYYXy8in), body: {"error":{"code":"model_not_found","message":"No available channel for model gpt-5 under group default (distributor) (request id: 20260609061144222390797ZYYXy8in)","type":"new_api_error"}} 
[SYS] 2026/06/09 - 14:11:45 | testing channel 39 with model gpt-5.4 , info RelayInfo{ RelayFormat: openai, RelayMode: 1, IsStream: false, IsPlayground: false, RequestURLPath: "/v1/chat/completions", OriginModelName: "gpt-5.4", EstimatePromptTokens: 0, ShouldIncludeUsage: false, DisablePing: false, SendResponseCount: 0, FinalPreConsumedQuota: 0, User{ Id: 1, Email: "***masked***", Group: "default", UsingGroup: "default", Quota: 499999224577603 }, Token{ Id: 0, Unlimited: false, Key: ***masked*** }, Timing{ Start: 2026-06-09T14:11:45.1289245+08:00, FirstResponse: 2026-06-09T14:11:44.1289245+08:00, LatencyMs: -1000 }, ChannelMeta{ Type: 1, Id: 39, IsMultiKey: false, MultiKeyIndex: 0, BaseURL: "https://api.iamhc.cn", ApiType: 0, ApiVersion: "", CreateTime: 1776556581, UpstreamModelName: "gpt-5.4", IsModelMapped: false, SupportStreamOptions: true, ApiKey: ***masked*** }, }  
[SYS] 2026/06/09 - 14:11:45 | channel test bad response: channel_id=39 name=https://api.iamhc.cn type=1 model=gpt-5.4 endpoint_type= status=503 err=bad response status code 503, message: No available channel for model gpt-5.4 under group default (distributor) (request id: 202606090611453644136808268d9d6qpd0ovdi), body: {"error":{"code":"model_not_found","message":"No available channel for model gpt-5.4 under group default (distributor) (request id: 202606090611453644136808268d9d6qpd0ovdi)","type":"new_api_error"}} 
[SYS] 2026/06/09 - 14:11:45 | testing channel 50 with model gpt-5.4 , info RelayInfo{ RelayFormat: openai, RelayMode: 1, IsStream: false, IsPlayground: false, RequestURLPath: "/v1/chat/completions", OriginModelName: "gpt-5.4", EstimatePromptTokens: 0, ShouldIncludeUsage: false, DisablePing: false, SendResponseCount: 0, FinalPreConsumedQuota: 0, User{ Id: 1, Email: "***masked***", Group: "default", UsingGroup: "default", Quota: 499999224577603 }, Token{ Id: 0, Unlimited: false, Key: ***masked*** }, Timing{ Start: 2026-06-09T14:11:45.2548077+08:00, FirstResponse: 2026-06-09T14:11:44.2548077+08:00, LatencyMs: -1000 }, ChannelMeta{ Type: 1, Id: 50, IsMultiKey: false, MultiKeyIndex: 0, BaseURL: "https://api.freemodel.dev", ApiType: 0, ApiVersion: "", CreateTime: 1778381370, UpstreamModelName: "gpt-5.4", IsModelMapped: false, SupportStreamOptions: true, ApiKey: ***masked*** }, }  
[SYS] 2026/06/09 - 14:11:46 | channel test bad response: channel_id=50 name=https://api.freemodel.dev type=1 model=gpt-5.4 endpoint_type= status=401 err=bad response status code 401, message: Insufficient balance, body: {"error":"Insufficient balance"}
 
[SYS] 2026/06/09 - 14:11:46 | testing channel 58 with model mimo-v2.5-pro , info RelayInfo{ RelayFormat: openai, RelayMode: 1, IsStream: false, IsPlayground: false, RequestURLPath: "/v1/chat/completions", OriginModelName: "mimo-v2.5-pro", EstimatePromptTokens: 0, ShouldIncludeUsage: false, DisablePing: false, SendResponseCount: 0, FinalPreConsumedQuota: 0, User{ Id: 1, Email: "***masked***", Group: "default", UsingGroup: "default", Quota: 499999224577603 }, Token{ Id: 0, Unlimited: false, Key: ***masked*** }, Timing{ Start: 2026-06-09T14:11:46.8855778+08:00, FirstResponse: 2026-06-09T14:11:45.8855778+08:00, LatencyMs: -1000 }, ChannelMeta{ Type: 1, Id: 58, IsMultiKey: false, MultiKeyIndex: 0, BaseURL: "https://token-plan-sgp.xiaomimimo.com", ApiType: 0, ApiVersion: "", CreateTime: 1779865472, UpstreamModelName: "mimo-v2.5-pro", IsModelMapped: false, SupportStreamOptions: true, ApiKey: ***masked*** }, }  
[SYS] 2026/06/09 - 14:11:47 | channel test bad response: channel_id=58 name=https://token-plan-sgp.xiaomimimo.com/v1 type=1 model=mimo-v2.5-pro endpoint_type= status=401 err=bad response status code 401, message: Invalid API Key, body: {
    "error": {
        "message": "Invalid API Key",
        "param": "Please provide valid API Key",
        "code": "401",
        "type": "invalid_key"
    }
}
 
[SYS] 2026/06/09 - 14:11:47 | testing channel 45 with model gpt-5.4 , info RelayInfo{ RelayFormat: openai, RelayMode: 1, IsStream: false, IsPlayground: false, RequestURLPath: "/v1/chat/completions", OriginModelName: "gpt-5.4", EstimatePromptTokens: 0, ShouldIncludeUsage: false, DisablePing: false, SendResponseCount: 0, FinalPreConsumedQuota: 0, User{ Id: 1, Email: "***masked***", Group: "default", UsingGroup: "default", Quota: 499999224577603 }, Token{ Id: 0, Unlimited: false, Key: ***masked*** }, Timing{ Start: 2026-06-09T14:11:47.5684737+08:00, FirstResponse: 2026-06-09T14:11:46.5684737+08:00, LatencyMs: -1000 }, ChannelMeta{ Type: 1, Id: 45, IsMultiKey: false, MultiKeyIndex: 0, BaseURL: "https://ai.1239999.xyz", ApiType: 0, ApiVersion: "", CreateTime: 1777182763, UpstreamModelName: "gpt-5.4", IsModelMapped: false, SupportStreamOptions: true, ApiKey: ***masked*** }, }  
[SYS] 2026/06/09 - 14:11:55 | channel test bad response: channel_id=45 name=https://ai.1239999.xyz type=1 model=gpt-5.4 endpoint_type= status=403 err=bad response status code 403, message: Insufficient account balance, body: {"code":"INSUFFICIENT_BALANCE","message":"Insufficient account balance"} 
[SYS] 2026/06/09 - 14:11:55 | testing channel 51 with model gpt-5.5 , info RelayInfo{ RelayFormat: openai, RelayMode: 1, IsStream: false, IsPlayground: false, RequestURLPath: "/v1/chat/completions", OriginModelName: "gpt-5.4", EstimatePromptTokens: 0, ShouldIncludeUsage: false, DisablePing: false, SendResponseCount: 0, FinalPreConsumedQuota: 0, User{ Id: 1, Email: "***masked***", Group: "default", UsingGroup: "default", Quota: 499999224577603 }, Token{ Id: 0, Unlimited: false, Key: ***masked*** }, Timing{ Start: 2026-06-09T14:11:55.8751777+08:00, FirstResponse: 2026-06-09T14:11:54.8751777+08:00, LatencyMs: -1000 }, ChannelMeta{ Type: 1, Id: 51, IsMultiKey: false, MultiKeyIndex: 0, BaseURL: "https://a.aiapi1.cc.cd", ApiType: 0, ApiVersion: "", CreateTime: 1778997572, UpstreamModelName: "gpt-5.5", IsModelMapped: true, SupportStreamOptions: true, ApiKey: ***masked*** }, }  
[INFO] 2026/06/09 - 14:12:03 | SYSTEM | record usage log: userId=1, params={"channel_id":51,"prompt_tokens":7,"completion_tokens":13,"model_name":"gpt-5.4","token_name":"模型测试","content":"模型测试","token_id":0,"use_time_seconds":8,"is_stream":false,"group":"default","other":{"admin_info":{"use_channel":null},"cache_tokens":0,"frt":-1000,"is_model_mapped":true,"request_conversion":["OpenAI Compatible"],"request_path":"/v1/chat/completions","upstream_model_name":"gpt-5.5"}} 
[SYS] 2026/06/09 - 14:12:04 | testing channel #51, response: 
{"id":"resp_06e9687c3e25a051016a27aeb245fc8193b3084f4499dfb54b","object":"chat.completion","created":1780985522,"model":"gpt-5.5","choices":[{"index":0,"message":{"role":"assistant","content":"Hi! How can I help you today?","reasoning_content":null,"tool_calls":null},"finish_reason":"stop","native_finish_reason":"stop"}],"usage":{"completion_tokens":13,"total_tokens":20,"prompt_tokens":7,"prompt_tokens_details":{"cached_tokens":0},"completion_tokens_details":{"reasoning_tokens":0}}} 
[SYS] 2026/06/09 - 14:12:04 | testing channel 59 with model mimo-v2.5-pro , info RelayInfo{ RelayFormat: openai, RelayMode: 1, IsStream: false, IsPlayground: false, RequestURLPath: "/v1/chat/completions", OriginModelName: "mimo-v2.5-pro", EstimatePromptTokens: 0, ShouldIncludeUsage: false, DisablePing: false, SendResponseCount: 0, FinalPreConsumedQuota: 0, User{ Id: 1, Email: "***masked***", Group: "default", UsingGroup: "default", Quota: 499999224577603 }, Token{ Id: 0, Unlimited: false, Key: ***masked*** }, Timing{ Start: 2026-06-09T14:12:04.0676802+08:00, FirstResponse: 2026-06-09T14:12:03.0676802+08:00, LatencyMs: -1000 }, ChannelMeta{ Type: 1, Id: 59, IsMultiKey: false, MultiKeyIndex: 0, BaseURL: "https://token-plan-cn.xiaomimimo.com", ApiType: 0, ApiVersion: "", CreateTime: 1779927224, UpstreamModelName: "mimo-v2.5-pro", IsModelMapped: false, SupportStreamOptions: true, ApiKey: ***masked*** }, }  
[SYS] 2026/06/09 - 14:12:04 | channel test bad response: channel_id=59 name=xiaomimimo.com/v1 type=1 model=mimo-v2.5-pro endpoint_type= status=429 err=bad response status code 429, message: quota exhausted, body: {
    "error": {
        "code": "429",
        "message": "quota exhausted",
        "type": "limitation"
    }
}
 
[SYS] 2026/06/09 - 14:12:04 | testing channel 61 with model mimo-v2.5-pro , info RelayInfo{ RelayFormat: openai, RelayMode: 1, IsStream: false, IsPlayground: false, RequestURLPath: "/v1/chat/completions", OriginModelName: "mimo-v2.5-pro", EstimatePromptTokens: 0, ShouldIncludeUsage: false, DisablePing: false, SendResponseCount: 0, FinalPreConsumedQuota: 0, User{ Id: 1, Email: "***masked***", Group: "default", UsingGroup: "default", Quota: 499999224577603 }, Token{ Id: 0, Unlimited: false, Key: ***masked*** }, Timing{ Start: 2026-06-09T14:12:04.2084023+08:00, FirstResponse: 2026-06-09T14:12:03.2084023+08:00, LatencyMs: -1000 }, ChannelMeta{ Type: 1, Id: 61, IsMultiKey: false, MultiKeyIndex: 0, BaseURL: "https://token-plan-cn.xiaomimimo.com", ApiType: 0, ApiVersion: "", CreateTime: 1780277005, UpstreamModelName: "mimo-v2.5-pro", IsModelMapped: false, SupportStreamOptions: true, ApiKey: ***masked*** }, }  
[SYS] 2026/06/09 - 14:12:04 | channel test bad response: channel_id=61 name=xiaomimimo.com/v1_复制 type=1 model=mimo-v2.5-pro endpoint_type= status=429 err=bad response status code 429, message: quota exhausted, body: {
    "error": {
        "code": "429",
        "message": "quota exhausted",
        "type": "limitation"
    }
}
 
[SYS] 2026/06/09 - 14:12:04 | testing channel 64 with model mimo-v2.5-pro , info RelayInfo{ RelayFormat: openai, RelayMode: 1, IsStream: false, IsPlayground: false, RequestURLPath: "/v1/chat/completions", OriginModelName: "mimo-v2.5-pro", EstimatePromptTokens: 0, ShouldIncludeUsage: false, DisablePing: false, SendResponseCount: 0, FinalPreConsumedQuota: 0, User{ Id: 1, Email: "***masked***", Group: "default", UsingGroup: "default", Quota: 499999224577603 }, Token{ Id: 0, Unlimited: false, Key: ***masked*** }, Timing{ Start: 2026-06-09T14:12:04.256079+08:00, FirstResponse: 2026-06-09T14:12:03.256079+08:00, LatencyMs: -1000 }, ChannelMeta{ Type: 1, Id: 64, IsMultiKey: false, MultiKeyIndex: 0, BaseURL: "https://token-plan-cn.xiaomimimo.com", ApiType: 0, ApiVersion: "", CreateTime: 1780474142, UpstreamModelName: "mimo-v2.5-pro", IsModelMapped: false, SupportStreamOptions: true, ApiKey: ***masked*** }, }  
[SYS] 2026/06/09 - 14:12:04 | channel test bad response: channel_id=64 name=xiaomimimo.com/v1_复制_复制 type=1 model=mimo-v2.5-pro endpoint_type= status=429 err=bad response status code 429, message: quota exhausted, body: {
    "error": {
        "code": "429",
        "message": "quota exhausted",
        "type": "limitation"
    }
}
 
[SYS] 2026/06/09 - 14:12:04 | testing channel 66 with model claude-opus-4-6 , info RelayInfo{ RelayFormat: openai, RelayMode: 1, IsStream: false, IsPlayground: false, RequestURLPath: "/v1/chat/completions", OriginModelName: "claude-opus-4-6", EstimatePromptTokens: 0, ShouldIncludeUsage: false, DisablePing: false, SendResponseCount: 0, FinalPreConsumedQuota: 0, User{ Id: 1, Email: "***masked***", Group: "default", UsingGroup: "default", Quota: 499999224577603 }, Token{ Id: 0, Unlimited: false, Key: ***masked*** }, Timing{ Start: 2026-06-09T14:12:04.3053173+08:00, FirstResponse: 2026-06-09T14:12:03.3053173+08:00, LatencyMs: -1000 }, ChannelMeta{ Type: 1, Id: 66, IsMultiKey: false, MultiKeyIndex: 0, BaseURL: "https://aiapi1.cc.cd", ApiType: 0, ApiVersion: "", CreateTime: 1780489799, UpstreamModelName: "claude-opus-4-6", IsModelMapped: false, SupportStreamOptions: true, ApiKey: ***masked*** }, }  
[GIN] 2026/06/09 - 14:12:07 | api | 202606090612071449785008268d9d60AHGXipb | 200 |      8.6647ms |       127.0.0.1 |     GET /api/data/?username=&start_timestamp=1780243200&end_timestamp=1780985409&default_time=hour
[GIN] 2026/06/09 - 14:12:07 | api | 202606090612071936778008268d9d6Oj4JAHcK | 200 |       2.094ms |       127.0.0.1 |     GET /api/data/users?start_timestamp=1780243200&end_timestamp=1780985409
[INFO] 2026/06/09 - 14:12:11 | SYSTEM | record usage log: userId=1, params={"channel_id":66,"prompt_tokens":7,"completion_tokens":13,"model_name":"claude-opus-4-6","token_name":"模型测试","content":"模型测试","token_id":0,"use_time_seconds":7,"is_stream":false,"group":"default","other":{"admin_info":{"use_channel":null},"cache_tokens":0,"frt":-1000,"request_conversion":["OpenAI Compatible"],"request_path":"/v1/chat/completions"}} 
[SYS] 2026/06/09 - 14:12:11 | testing channel #66, response: 
{"id":"resp_06394b861e78570f016a27aeba50588190ab629b817a653752","object":"chat.completion","created":1780985530,"model":"gpt-5.5","choices":[{"index":0,"message":{"role":"assistant","content":"Hi! How can I help you today?","reasoning_content":null,"tool_calls":null},"finish_reason":"stop","native_finish_reason":"stop"}],"usage":{"completion_tokens":13,"total_tokens":20,"prompt_tokens":7,"prompt_tokens_details":{"cached_tokens":0},"completion_tokens_details":{"reasoning_tokens":0}}} 
[SYS] 2026/06/09 - 14:12:11 | testing channel 2 with model DeepSeek-R1-0528-Qwen3-8B , info RelayInfo{ RelayFormat: openai, RelayMode: 1, IsStream: false, IsPlayground: false, RequestURLPath: "/v1/chat/completions", OriginModelName: "DeepSeek-R1-0528-Qwen3-8B", EstimatePromptTokens: 0, ShouldIncludeUsage: false, DisablePing: false, SendResponseCount: 0, FinalPreConsumedQuota: 0, User{ Id: 1, Email: "***masked***", Group: "default", UsingGroup: "default", Quota: 499999224577603 }, Token{ Id: 0, Unlimited: false, Key: ***masked*** }, Timing{ Start: 2026-06-09T14:12:11.6930919+08:00, FirstResponse: 2026-06-09T14:12:10.6930919+08:00, LatencyMs: -1000 }, ChannelMeta{ Type: 1, Id: 2, IsMultiKey: false, MultiKeyIndex: 0, BaseURL: "https://api.edgefn.net", ApiType: 0, ApiVersion: "", CreateTime: 1774314828, UpstreamModelName: "DeepSeek-R1-0528-Qwen3-8B", IsModelMapped: false, SupportStreamOptions: true, ApiKey: ***masked*** }, }  
[INFO] 2026/06/09 - 14:12:12 | SYSTEM | record usage log: userId=1, params={"channel_id":2,"prompt_tokens":4,"completion_tokens":16,"model_name":"DeepSeek-R1-0528-Qwen3-8B","token_name":"模型测试","content":"模型测试","token_id":0,"use_time_seconds":0,"is_stream":false,"group":"default","other":{"admin_info":{"use_channel":null},"cache_tokens":0,"frt":-1000,"request_conversion":["OpenAI Compatible"],"request_path":"/v1/chat/completions"}} 
[SYS] 2026/06/09 - 14:12:12 | testing channel #2, response: 
{"id":"chatcmpl-c7bf5f237f1b8a49e42e26a37fa6ec34","object":"chat.completion","created":1780985532,"model":"DeepSeek-R1-0528-Qwen3-8B","choices":[{"index":0,"message":{"role":"assistant","content":"<think>\nHmm…… the user just said “hi” to me. Pretty simple","refusal":null,"annotations":null,"audio":null,"function_call":null,"tool_calls":[],"reasoning_content":null},"logprobs":null,"finish_reason":"length","stop_reason":null}],"service_tier":null,"system_fingerprint":null,"usage":{"prompt_tokens":4,"total_tokens":20,"completion_tokens":16,"prompt_tokens_details":null},"prompt_logprobs":null,"kv_transfer_params":null} 
[SYS] 2026/06/09 - 14:12:12 | testing channel 3 with model nvidia/nv-embed-v1 , info RelayInfo{ RelayFormat: embedding, RelayMode: 3, IsStream: false, IsPlayground: false, RequestURLPath: "/v1/embeddings", OriginModelName: "nvidia/nv-embed-v1", EstimatePromptTokens: 0, ShouldIncludeUsage: false, DisablePing: false, SendResponseCount: 0, FinalPreConsumedQuota: 0, User{ Id: 1, Email: "***masked***", Group: "default", UsingGroup: "default", Quota: 499999224577603 }, Token{ Id: 0, Unlimited: false, Key: ***masked*** }, Timing{ Start: 2026-06-09T14:12:12.1966658+08:00, FirstResponse: 2026-06-09T14:12:11.1966658+08:00, LatencyMs: -1000 }, ChannelMeta{ Type: 1, Id: 3, IsMultiKey: false, MultiKeyIndex: 0, BaseURL: "https://integrate.api.nvidia.com", ApiType: 0, ApiVersion: "", CreateTime: 1774314894, UpstreamModelName: "nvidia/nv-embed-v1", IsModelMapped: false, SupportStreamOptions: true, ApiKey: ***masked*** }, }  
[SYS] 2026/06/09 - 14:12:12 | testing channel 4 with model deepseek-r1-0528 , info RelayInfo{ RelayFormat: openai, RelayMode: 1, IsStream: false, IsPlayground: false, RequestURLPath: "/v1/chat/completions", OriginModelName: "deepseek-r1-0528", EstimatePromptTokens: 0, ShouldIncludeUsage: false, DisablePing: false, SendResponseCount: 0, FinalPreConsumedQuota: 0, User{ Id: 1, Email: "***masked***", Group: "default", UsingGroup: "default", Quota: 499999224577603 }, Token{ Id: 0, Unlimited: false, Key: ***masked*** }, Timing{ Start: 2026-06-09T14:12:12.2031179+08:00, FirstResponse: 2026-06-09T14:12:11.2031179+08:00, LatencyMs: -1000 }, ChannelMeta{ Type: 1, Id: 4, IsMultiKey: false, MultiKeyIndex: 0, BaseURL: "https://agentrouter.org", ApiType: 0, ApiVersion: "", CreateTime: 1774315284, UpstreamModelName: "deepseek-r1-0528", IsModelMapped: false, SupportStreamOptions: true, ApiKey: ***masked*** }, }  
[SYS] 2026/06/09 - 14:12:12 | channel test bad response: channel_id=4 name=agentrouter type=1 model=deepseek-r1-0528 endpoint_type= status=401 err=bad response status code 401, message: unauthorized client detected, contact support for assistance at https://discord.com/invite/V6kaP6Rg44, body: {"error":{"message":"unauthorized client detected, contact support for assistance at https://discord.com/invite/V6kaP6Rg44"},"message":"UNAUTHENTICATED","success":false,"type":"unauthorized_client_error"} 
[SYS] 2026/06/09 - 14:12:12 | testing channel 6 with model MiniMax-M2.5 , info RelayInfo{ RelayFormat: openai, RelayMode: 1, IsStream: false, IsPlayground: false, RequestURLPath: "/v1/chat/completions", OriginModelName: "MiniMax-M2.5", EstimatePromptTokens: 0, ShouldIncludeUsage: false, DisablePing: false, SendResponseCount: 0, FinalPreConsumedQuota: 0, User{ Id: 1, Email: "***masked***", Group: "default", UsingGroup: "default", Quota: 499999224577603 }, Token{ Id: 0, Unlimited: false, Key: ***masked*** }, Timing{ Start: 2026-06-09T14:12:12.9280643+08:00, FirstResponse: 2026-06-09T14:12:11.9280643+08:00, LatencyMs: -1000 }, ChannelMeta{ Type: 1, Id: 6, IsMultiKey: false, MultiKeyIndex: 0, BaseURL: "https://apiclaw.online", ApiType: 0, ApiVersion: "", CreateTime: 1774316148, UpstreamModelName: "MiniMax-M2.5", IsModelMapped: false, SupportStreamOptions: true, ApiKey: ***masked*** }, }  
[SYS] 2026/06/09 - 14:12:18 | channel test bad response: channel_id=6 name=apiclaw type=1 model=MiniMax-M2.5 endpoint_type= status=530 err=bad response status code 530, body: error code: 1033 
